uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1696385357","04 Oct 2023, 02:09","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Rip Off","8855ba55-3864-457a-9066-97664dc0268a"
"1696377178","03 Oct 2023, 23:52","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Clear",""
"1696376810","03 Oct 2023, 23:46","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Ready Runner","441d988b-bc44-4761-a83c-7c6570fe9eb8"
"1696376555","03 Oct 2023, 23:42","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Medicine","aa241888-b0a5-4ed8-9220-22dc8e704260"
"1696376304","03 Oct 2023, 23:38","Momma","a17342a6-e661-4874-9687-957caf010377","Apollo/Highway","b9eddc67-424e-43be-8da1-3e1cc823f8d6","Highway","7a00cfb1-c8ba-4668-9a26-2c66401d024f"
"1696376005","03 Oct 2023, 23:33","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","No Bite","4655eeef-0616-43b5-9d2d-cab5274e14d5"
"1696374843","03 Oct 2023, 23:14","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Tall Home","0691fca9-3dde-411b-9a75-62c415353201"
"1696374642","03 Oct 2023, 23:10","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Motorbike","4eb6489a-b44e-43bb-bd6e-3337372a165a"
"1696374430","03 Oct 2023, 23:07","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Not A Runner","1aaf8cc7-1576-448e-8938-c9aeaa090c4f"
"1696374255","03 Oct 2023, 23:04","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Signed Hunter",""
"1696374031","03 Oct 2023, 23:00","Momma","","Momma on Audiotree Live","","Speeding 72 - Audiotree Live Version",""
"1696373784","03 Oct 2023, 22:56","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Turf War",""
"1696373600","03 Oct 2023, 22:53","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Derby","02002c55-3582-4dba-9399-18414419fff1"
"1696372319","03 Oct 2023, 22:31","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Caterpillar",""
"1696372113","03 Oct 2023, 22:28","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Interloper",""
"1696371514","03 Oct 2023, 22:18","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Habitat","10e91a34-70d2-4979-a115-46ea0fe8db33"
"1696371324","03 Oct 2023, 22:15","Momma","a17342a6-e661-4874-9687-957caf010377","Household Name","acd6ac10-09cd-42c8-835f-a3760ad2cb85","Rockstar","9a727d3d-37b1-41aa-82c7-3efe4cedda9e"
"1696371128","03 Oct 2023, 22:12","Momma","","Momma on Audiotree Live","","Tall Home - Audiotree Live Version",""
"1696370871","03 Oct 2023, 22:07","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","Capable Type",""
"1696370871","03 Oct 2023, 22:07","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Biohazard","3c828d39-da82-4aea-bab4-94b2b67b3340"
"1696370357","03 Oct 2023, 21:59","Momma","a17342a6-e661-4874-9687-957caf010377","Interloper","","work",""
"1696370185","03 Oct 2023, 21:56","Momma","a17342a6-e661-4874-9687-957caf010377","Two of Me","957e49cb-eb72-4ec1-b8f9-d5e3ab080a4a","Stringers","21d855dc-5186-4bc0-8a1c-40b72434e34d"
"1696370032","03 Oct 2023, 21:53","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","Spiderr","92de5f22-69e3-4a1f-877f-ca9c475d73c2","She's Always Dancing","9316333b-25e5-4c39-805f-47eedb46db41"
"1696369895","03 Oct 2023, 21:51","Bladee","cd689e77-dfdd-4f81-b50c-5e5a3f5e38a4","Spiderr","92de5f22-69e3-4a1f-877f-ca9c475d73c2","HAHAH","a9d291ad-7805-4216-87b3-864b5ae9a211"
